Genius,KenPom,HDI,HDIW,Conf,URL,URLW
Simpson,,SMP,SMPW,,https://www.simpsonathletics.com/sports/mbkb/{season_42}/roster,https://www.simpsonathletics.com/sports/wbkb/{season_42}/roster
Skidmore,,SKD,SKDW,,https://skidmoreathletics.com/sports/mens-basketball/roster/{season_42},https://skidmoreathletics.com/sports/womens-basketball/roster/{season_42}
Southern Me.,,SME,SMEW,,https://southernmainehuskies.com/sports/mens-basketball/roster/{season_42},https://southernmainehuskies.com/sports/womens-basketball/roster/{season_42}
Southern Va.,,SVA,SVAW,,https://knightathletics.com/sports/mens-basketball/roster/{season_42},https://knightathletics.com/sports/womens-basketball/roster/{season_42}
Southwestern (TX),,SWT,SWTW,,https://southwesternpirates.com/sports/mens-basketball/roster/{season_42},https://southwesternpirates.com/sports/womens-basketball/roster/{season_42}
Spalding,,SPA,SPAW,,https://spaldingathletics.com/sports/mens-basketball/roster/{season_42},https://spaldingathletics.com/sports/womens-basketball/roster/{season_42}
Springfield,,SPF,SPFW,,https://springfieldcollegepride.com/sports/mens-basketball/roster/{season_42},https://springfieldcollegepride.com/sports/womens-basketball/roster/{season_42}
St. Andrews,,STA,STAW,,https://sauknights.com/sports/mbkb/{season_42}/roster,https://sauknights.com/sports/wbkb/{season_42}/roster
St. John Fisher,,SJF,SJFW,,https://sjfathletics.com/sports/mens-basketball/roster/{season_42},https://sjfathletics.com/sports/womens-basketball/roster/{season_42}
St. Joseph's (Brkln),,SJB,SJBW,,https://sjbkathletics.com/sports/mens-basketball/roster/{season_42},https://sjbkathletics.com/sports/womens-basketball/roster/{season_42}
St. Joseph's (L.I.),,SJL,SJLW,,https://sjliathletics.com/sports/mens-basketball/roster/{season_42},https://sjliathletics.com/sports/womens-basketball/roster/{season_42}
St. Joseph's (ME),,STJ,STJW,,https://gomonks.com/sports/mens-basketball/roster/{season_42},https://gomonks.com/sports/womens-basketball/roster/{season_42}
St. Lawrence,,SLW,SLWW,,https://saintsathletics.com/sports/mens-basketball/roster/{season_42},https://saintsathletics.com/sports/womens-basketball/roster/{season_42}
