Genius,KenPom,HDI,HDIW,Conf,URL,URLW
A&M-Corpus Christi,Texas A&M Corpus Chris,TCC,TCCW,Southland,https://goislanders.com/sports/mens-basketball/roster/{season_42},https://goislanders.com/sports/womens-basketball/roster/{season_42}
Abilene Christian,Abilene Christian,ACU,ACUW,WAC,https://acusports.com/sports/mens-basketball/roster/{season_42},https://acusports.com/sports/womens-basketball/roster/{season_42}
Air Force,Air Force,AFA,AFAW,MWC,https://goairforcefalcons.com/sports/mens-basketball/roster/{season_42},https://goairforcefalcons.com/sports/womens-basketball/roster/{season_42}
Akron,Akron,AKR,AKRW,MAC,https://gozips.com/sports/mens-basketball/roster/{season_42},https://gozips.com/sports/womens-basketball/roster/{season_42}
Alabama,Alabama,ALA,ALAW,SEC,https://rolltide.com/sports/mens-basketball/roster/{season_42},https://rolltide.com/sports/womens-basketball/roster/{season_42}
Alabama A&M,Alabama A&M,AAM,AAMW,SWAC,https://aamusports.com/sports/mens-basketball/roster/{season_42},https://aamusports.com/sports/womens-basketball/roster/{season_42}
Alabama St.,Alabama St.,ALS,ALSW,SWAC,https://bamastatesports.com/sports/mens-basketball/roster/{season_42},https://bamastatesports.com/sports/womens-basketball/roster/{season_42}
Alcorn,Alcorn St.,ALC,ALCW,SWAC,https://alcornsports.com/sports/mens-basketball/roster/{season_42},https://alcornsports.com/sports/womens-basketball/roster/{season_42}
American,American,AMR,AMRW,Patriot League,https://aueagles.com/sports/mens-basketball/roster/{season_42},https://aueagles.com/sports/womens-basketball/roster/{season_42}
App State,Appalachian St.,APS,APSW,Sun Belt,https://appstatesports.com/sports/mens-basketball/roster/{season_42},https://appstatesports.com/sports/womens-basketball/roster/{season_42}
Arizona,Arizona,ARZ,ARZW,Big 12,https://arizonawildcats.com/sports/mens-basketball/roster/{season_42},https://arizonawildcats.com/sports/womens-basketball/roster/{season_42}
Arizona St.,Arizona St.,AZS,AZSW,Big 12,https://thesundevils.com/sports/mens-basketball/roster/season/{season_42},https://thesundevils.com/sports/womens-basketball/roster/season/{season_42}
Ark.-Pine Bluff,Arkansas Pine Bluff,APB,APBW,SWAC,https://uapblionsroar.com/sports/mens-basketball/roster/{season_42},https://uapblionsroar.com/sports/womens-basketball/roster/{season_42}
Arkansas,Arkansas,ARK,ARKW,SEC,https://arkansasrazorbacks.com/sport/m-baskbl/roster/?season={season_42},https://arkansasrazorbacks.com/sport/w-baskbl/roster/?season={season_42}
Arkansas St.,Arkansas St.,ARS,ARSW,Sun Belt,https://astateredwolves.com/sports/mens-basketball/roster/{season_42},https://astateredwolves.com/sports/womens-basketball/roster/{season_42}
Army West Point,Army,AMY,AMYW,Patriot League,https://goarmywestpoint.com/sports/mens-basketball/roster/{season_42},https://goarmywestpoint.com/sports/womens-basketball/roster/{season_42}
Auburn,Auburn,AUB,AUBW,SEC,https://auburntigers.com/sports/mens-basketball/roster/season/{season_42},https://auburntigers.com/sports/womens-basketball/roster/season/{season_42}
Austin Peay,Austin Peay,APY,APYW,ASUN,https://letsgopeay.com/sports/mens-basketball/roster/{season_42},https://letsgopeay.com/sports/womens-basketball/roster/{season_42}
Ball St.,Ball St.,BLS,BLSW,MAC,https://ballstatesports.com/sports/mens-basketball/roster/{season_42},https://ballstatesports.com/sports/womens-basketball/roster/{season_42}
Baylor,Baylor,BAY,BAYW,Big 12,https://baylorbears.com/sports/mens-basketball/roster/{season_42},https://baylorbears.com/sports/womens-basketball/roster/{season_42}
Bellarmine,Bellarmine,BMN,BMNW,ASUN,https://athletics.bellarmine.edu/sports/mens-basketball/roster/{season_42},https://athletics.bellarmine.edu/sports/womens-basketball/roster/{season_42}
Belmont,Belmont,BMT,BMTW,Missouri Valley,https://belmontbruins.com/sports/mens-basketball/roster/{season_42},https://belmontbruins.com/sports/womens-basketball/roster/{season_42}
Bethune-Cookman,Bethune Cookman,BEC,BECW,SWAC,https://bcuathletics.com/sports/mens-basketball/roster/{season_42},https://bcuathletics.com/sports/womens-basketball/roster/{season_42}
Binghamton,Binghamton,BTN,BTNW,America East,https://binghamtonbearcats.com/sports/mens-basketball/roster/{season_42},https://binghamtonbearcats.com/sports/womens-basketball/roster/{season_42}
Boise St.,Boise St.,BSU,BSUW,MWC,https://broncosports.com/sports/mens-basketball/roster/{season_42},https://broncosports.com/sports/womens-basketball/roster/{season_42}
Boston College,Boston College,BOC,BOCW,ACC,https://bceagles.com/sports/mens-basketball/roster/{season_42},https://bceagles.com/sports/womens-basketball/roster/{season_42}
Boston U.,Boston University,BOU,BOUW,Patriot League,https://goterriers.com/sports/mens-basketball/roster/{season_42},https://goterriers.com/sports/womens-basketball/roster/{season_42}
Bowling Green,Bowling Green,BGR,BGRW,MAC,https://bgsufalcons.com/sports/mens-basketball/roster/{season_42},https://bgsufalcons.com/sports/womens-basketball/roster/{season_42}
Bradley,Bradley,BRD,BRDW,Missouri Valley,https://bradleybraves.com/sports/mens-basketball/roster/{season_42},https://bradleybraves.com/sports/womens-basketball/roster/{season_42}
Brown,Brown,BRN,BRNW,Ivy League,https://brownbears.com/sports/mens-basketball/roster/{season_42},https://brownbears.com/sports/womens-basketball/roster/{season_42}
Bryant,Bryant,BRY,BRYW,America East,https://bryantbulldogs.com/sports/mens-basketball/roster/{season_42},https://bryantbulldogs.com/sports/womens-basketball/roster/{season_42}
Bucknell,Bucknell,BNL,BNLW,Patriot League,https://bucknellbison.com/sports/mens-basketball/roster/{season_42},https://bucknellbison.com/sports/womens-basketball/roster/{season_42}
Buffalo,Buffalo,BUF,BUFW,MAC,https://ubbulls.com/sports/mens-basketball/roster/{season_42},https://ubbulls.com/sports/womens-basketball/roster/{season_42}
Butler,Butler,BUT,BUTW,Big East,https://butlersports.com/sports/mens-basketball/roster/{season_42},https://butlersports.com/sports/womens-basketball/roster/{season_42}
BYU,BYU,BYU,BYUW,Big 12,https://byucougars.com/sports/mens-basketball/roster/season/{season_44},https://byucougars.com/sports/womens-basketball/roster/season/{season_44}
Cal Poly,Cal Poly,CAP,CAPW,Big West,https://gopoly.com/sports/mens-basketball/roster/{season_42},https://gopoly.com/sports/womens-basketball/roster/{season_42}
Cal St. Fullerton,Cal St. Fullerton,CSF,CSFW,Big West,https://fullertontitans.com/sports/mens-basketball/roster/{season_42},https://fullertontitans.com/sports/womens-basketball/roster/{season_42}
California,California,CAL,CALW,ACC,https://calbears.com/sports/mens-basketball/roster/{season_42},https://calbears.com/sports/womens-basketball/roster/{season_42}
California Baptist,Cal Baptist,CAB,CABW,WAC,https://cbulancers.com/sports/mens-basketball/roster/{season_42},https://cbulancers.com/sports/womens-basketball/roster/{season_42}
Campbell,Campbell,CMB,CMBW,CAA,https://gocamels.com/sports/mens-basketball/roster/{season_42},https://gocamels.com/sports/womens-basketball/roster/{season_42}
Canisius,Canisius,CAN,CANW,MAAC,https://gogriffs.com/sports/mens-basketball/roster/{season_42},https://gogriffs.com/sports/womens-basketball/roster/{season_42}
Central Ark.,Central Arkansas,CAR,CARW,ASUN,https://ucasports.com/sports/mens-basketball/roster/{season_42},https://ucasports.com/sports/womens-basketball/roster/{season_42}
Central Conn. St.,Central Connecticut,CCS,CCSW,NEC,https://ccsubluedevils.com/sports/mbkb/{season_42}/roster,https://ccsubluedevils.com/sports/wbkb/{season_42}/roster
Central Mich.,Central Michigan,CMU,CMUW,MAC,https://cmuchippewas.com/sports/mens-basketball/roster/{season_42},https://cmuchippewas.com/sports/womens-basketball/roster/{season_42}
Charleston So.,Charleston Southern,CSO,CSOW,Big South,https://csusports.com/sports/mens-basketball/roster/{season_42},https://csusports.com/sports/womens-basketball/roster/{season_42}
Charlotte,Charlotte,CLT,CLTW,American,https://charlotte49ers.com/sports/mens-basketball/roster/{season_42},https://charlotte49ers.com/sports/womens-basketball/roster/{season_42}
Chattanooga,Chattanooga,CHT,CHTW,SoCon,https://gomocs.com/sports/mens-basketball/roster/{season_42},https://gomocs.com/sports/womens-basketball/roster/{season_42}
Chicago St.,Chicago St.,CGS,CGSW,NEC,https://www.gocsucougars.com/sports/mens-basketball/roster/{season_42},https://www.gocsucougars.com/sports/womens-basketball/roster/{season_42}
Cincinnati,Cincinnati,CIN,CINW,Big 12,https://gobearcats.com/sports/mens-basketball/roster/season/{season_42},https://gobearcats.com/sports/womens-basketball/roster/season/{season_42}
Clemson,Clemson,CLM,CLMW,ACC,https://clemsontigers.com/sports/mens-basketball/roster/season/{season_4},https://clemsontigers.com/sports/womens-basketball/roster/season/{season_4}
Cleveland St.,Cleveland St.,CLS,CLSW,Horizon League,https://csuvikings.com/sports/mens-basketball/roster/{season_42},https://csuvikings.com/sports/womens-basketball/roster/{season_42}
Coastal Carolina,Coastal Carolina,CCL,CCLW,Sun Belt,https://goccusports.com/sports/mens-basketball/roster/{season_42},https://goccusports.com/sports/womens-basketball/roster/{season_42}
Col. of Charleston,Charleston,COC,COCW,CAA,https://cofcsports.com/sports/mens-basketball/roster/{season_42},https://cofcsports.com/sports/womens-basketball/roster/{season_42}
Colgate,Colgate,CLG,CLGW,Patriot League,https://colgateathletics.com/sports/mens-basketball/roster/{season_42},https://colgateathletics.com/sports/womens-basketball/roster/{season_42}
Colorado,Colorado,CLR,CLRW,Pac 12,https://cubuffs.com/sports/mens-basketball/roster/{season_42},https://cubuffs.com/sports/womens-basketball/roster/{season_42}
Colorado St.,Colorado St.,COS,COSW,MWC,https://csurams.com/sports/mens-basketball/roster/{season_42},https://csurams.com/sports/womens-basketball/roster/{season_42}
Columbia,Columbia,CLB,CLBW,Ivy League,https://gocolumbialions.com/sports/mens-basketball/roster/{season_42},https://gocolumbialions.com/sports/womens-basketball/roster/{season_42}
Coppin St.,Coppin St.,CPS,CPSW,MEAC,https://coppinstatesports.com/sports/mens-basketball/roster/{season_42},https://coppinstatesports.com/sports/womens-basketball/roster/{season_42}
Cornell,Cornell,CRN,CRNW,Ivy League,https://cornellbigred.com/sports/mens-basketball/roster/{season_42},https://cornellbigred.com/sports/womens-basketball/roster/{season_42}
Creighton,Creighton,CRE,CREW,Big East,https://gocreighton.com/sports/mens-basketball/roster/{season_42},https://gocreighton.com/sports/womens-basketball/roster/{season_42}
CSU Bakersfield,Cal St. Bakersfield,BAK,BAKW,Big West,https://gorunners.com/sports/mens-basketball/roster/{season_42},https://gorunners.com/sports/womens-basketball/roster/{season_42}
CSUN,Cal St. Northridge,CSN,CSNW,Big West,https://gomatadors.com/sports/mens-basketball/roster/{season_42},https://gomatadors.com/sports/womens-basketball/roster/{season_42}
Dartmouth,Dartmouth,DRT,DRTW,Ivy League,https://dartmouthsports.com/sports/mens-basketball/roster/{season_42},https://dartmouthsports.com/sports/womens-basketball/roster/{season_42}
Davidson,Davidson,DAV,DAVW,A10,https://davidsonwildcats.com/sports/mens-basketball/roster/{season_42},https://davidsonwildcats.com/sports/womens-basketball/roster/{season_42}
Dayton,Dayton,DAY,DAYW,A10,https://daytonflyers.com/sports/mens-basketball/roster/{season_42},https://daytonflyers.com/sports/womens-basketball/roster/{season_42}
Delaware,Delaware,DEL,DELW,CAA,https://bluehens.com/sports/mens-basketball/roster/{season_42},https://bluehens.com/sports/womens-basketball/roster/{season_42}
Delaware St.,Delaware St.,DES,DESW,MEAC,https://dsuhornets.com/sports/mens-basketball/roster/{season_42},https://dsuhornets.com/sports/womens-basketball/roster/{season_42}
Denver,Denver,DEN,DENW,Summit League,https://denverpioneers.com/sports/mens-basketball/roster/{season_42},https://denverpioneers.com/sports/womens-basketball/roster/{season_42}
DePaul,DePaul,DEP,DEPW,Big East,https://depaulbluedemons.com/sports/mens-basketball/roster/{season_42},https://depaulbluedemons.com/sports/womens-basketball/roster/{season_42}
Detroit Mercy,Detroit,DET,DETW,Horizon League,https://detroittitans.com/sports/mens-basketball/roster/{season_42},https://detroittitans.com/sports/womens-basketball/roster/{season_42}
Drake,Drake,DRA,DRAW,Missouri Valley,https://godrakebulldogs.com/sports/mens-basketball/roster/{season_42},https://godrakebulldogs.com/sports/womens-basketball/roster/{season_42}
Drexel,Drexel,DXL,DXLW,CAA,https://drexeldragons.com/sports/mens-basketball/roster/{season_42},https://drexeldragons.com/sports/womens-basketball/roster/{season_42}
Duke,Duke,DUK,DUKW,ACC,https://goduke.com/sports/mens-basketball/roster/{season_42},https://goduke.com/sports/womens-basketball/roster/{season_42}
Duquesne,Duquesne,DUQ,DUQW,A10,https://goduquesne.com/sports/mens-basketball/roster/{season_42},https://goduquesne.com/sports/womens-basketball/roster/{season_42}
East Carolina,East Carolina,ECU,ECUW,American,https://ecupirates.com/sports/mens-basketball/roster/{season_42},https://ecupirates.com/sports/womens-basketball/roster/{season_42}
Eastern Ill.,Eastern Illinois,EIU,EIUW,Ohio Valley,https://eiupanthers.com/sports/mens-basketball/roster/{season_42},https://eiupanthers.com/sports/womens-basketball/roster/{season_42}
Eastern Ky.,Eastern Kentucky,EKU,EKUW,ASUN,https://ekusports.com/sports/mens-basketball/roster/{season_42},https://ekusports.com/sports/womens-basketball/roster/{season_42}
Eastern Mich.,Eastern Michigan,EMU,EMUW,MAC,https://emueagles.com/sports/mens-basketball/roster/{season_42},https://emueagles.com/sports/womens-basketball/roster/{season_42}
Eastern Wash.,Eastern Washington,EWU,EWUW,Big Sky,https://goeags.com/sports/mens-basketball/roster/{season_42},https://goeags.com/sports/womens-basketball/roster/{season_42}
Elon,Elon,ELO,ELOW,CAA,https://elonphoenix.com/sports/mens-basketball/roster/{season_42},https://elonphoenix.com/sports/womens-basketball/roster/{season_42}
ETSU,East Tennessee St.,ETS,ETSW,SoCon,https://etsubucs.com/sports/mens-basketball/roster/{season_42},https://etsubucs.com/sports/womens-basketball/roster/{season_42}
Evansville,Evansville,EVN,EVNW,Missouri Valley,https://gopurpleaces.com/sports/mens-basketball/roster/{season_42},https://gopurpleaces.com/sports/womens-basketball/roster/{season_42}
Fairfield,Fairfield,FFD,FFDW,MAAC,https://fairfieldstags.com/sports/mens-basketball/roster/{season_42},https://fairfieldstags.com/sports/womens-basketball/roster/{season_42}
FDU,Fairleigh Dickinson,FDN,FDNW,NEC,https://fduknights.com/sports/mens-basketball/roster/{season_42},https://fduknights.com/sports/womens-basketball/roster/{season_42}
FGCU,Florida Gulf Coast,FGC,FGCW,ASUN,https://fgcuathletics.com/sports/mens-basketball/roster/{season_42},https://fgcuathletics.com/sports/womens-basketball/roster/{season_42}
FIU,FIU,FIU,FIUW,CUSA,https://fiusports.com/sports/mens-basketball/roster/{season_42},https://fiusports.com/sports/womens-basketball/roster/{season_42}
Fla. Atlantic,Florida Atlantic,FAU,FAUW,American,https://fausports.com/sports/mens-basketball/roster/{season_42},https://fausports.com/sports/womens-basketball/roster/{season_42}
Florida,Florida,FLA,FLAW,SEC,https://floridagators.com/sports/mens-basketball/roster/{season_42},https://floridagators.com/sports/womens-basketball/roster/{season_42}
Florida A&M,Florida A&M,FAM,FAMW,SWAC,https://famuathletics.com/sports/mens-basketball/roster/{season_42},https://famuathletics.com/sports/womens-basketball/roster/{season_42}
Florida St.,Florida St.,FSU,FSUW,ACC,https://seminoles.com/sports/mens-basketball/roster/{season_42},https://seminoles.com/sports/womens-basketball/roster/{season_42}
Fordham,Fordham,FRD,FRDW,A10,https://fordhamsports.com/sports/mens-basketball/roster/{season_42},https://fordhamsports.com/sports/womens-basketball/roster/{season_42}
Fresno St.,Fresno St.,FRS,FRSW,MWC,https://gobulldogs.com/sports/mens-basketball/roster/{season_42},https://gobulldogs.com/sports/womens-basketball/roster/{season_42}
Furman,Furman,FUR,FURW,SoCon,https://furmanpaladins.com/sports/mens-basketball/roster/{season_42},https://furmanpaladins.com/sports/womens-basketball/roster/{season_42}
Ga. Southern,Georgia Southern,GSO,GSOW,Sun Belt,https://gseagles.com/sports/mens-basketball/roster/{season_42},https://gseagles.com/sports/womens-basketball/roster/{season_42}
Gardner-Webb,Gardner Webb,GDW,GDWW,Big South,https://gwusports.com/sports/mens-basketball/roster/{season_42},https://gwusports.com/sports/womens-basketball/roster/{season_42}
George Mason,George Mason,GMU,GMUW,A10,https://gomason.com/sports/mens-basketball/roster/{season_42},https://gomason.com/sports/womens-basketball/roster/{season_42}
George Washington,George Washington,GWU,GWUW,A10,https://gwsports.com/sports/mens-basketball/roster/{season_42},https://gwsports.com/sports/womens-basketball/roster/{season_42}
Georgetown,Georgetown,GTN,GTNW,Big East,https://guhoyas.com/sports/mens-basketball/roster/{season_42},https://guhoyas.com/sports/womens-basketball/roster/{season_42}
Georgia,Georgia,UGA,UGAW,SEC,https://georgiadogs.com/sports/mens-basketball/roster/{season_42},https://georgiadogs.com/sports/womens-basketball/roster/{season_42}
Georgia St.,Georgia St.,GAS,GASW,Sun Belt,https://georgiastatesports.com/sports/mens-basketball/roster/{season_42},https://georgiastatesports.com/sports/womens-basketball/roster/{season_42}
Georgia Tech,Georgia Tech,GAT,GATW,ACC,https://ramblinwreck.com/sports/m-baskbl/roster/season/{season_42}/,https://ramblinwreck.com/sports/w-baskbl/roster/season/{season_42}/
Gonzaga,Gonzaga,GON,GONW,WCC,https://gozags.com/sports/mens-basketball/roster/{season_42},https://gozags.com/sports/womens-basketball/roster/{season_42}
Grambling,Grambling St.,GRA,GRAW,SWAC,https://gsutigers.com/sports/mens-basketball/roster/{season_42},https://gsutigers.com/sports/womens-basketball/roster/{season_42}
Grand Canyon,Grand Canyon,GCU,GCUW,WAC,https://gculopes.com/sports/mens-basketball/roster/{season_42},https://gculopes.com/sports/womens-basketball/roster/{season_42}
Green Bay,Green Bay,GRB,GRBW,Horizon League,https://greenbayphoenix.com/sports/mens-basketball/roster/{season_42},https://greenbayphoenix.com/sports/womens-basketball/roster/{season_42}
Hampton,Hampton,HAM,HAMW,CAA,https://hamptonpirates.com/sports/mens-basketball/roster/{season_42},https://hamptonpirates.com/sports/womens-basketball/roster/{season_42}
Harvard,Harvard,HVD,HVDW,Ivy League,https://gocrimson.com/sports/mens-basketball/roster/{season_42},https://gocrimson.com/sports/womens-basketball/roster/{season_42}
Hawaii,Hawaii,HAW,HAWW,Big West,https://hawaiiathletics.com/sports/mens-basketball/roster/{season_44},https://hawaiiathletics.com/sports/womens-basketball/roster/{season_44}
High Point,High Point,HPT,HPTW,Big South,https://highpointpanthers.com/sports/mens-basketball/roster/{season_42},https://highpointpanthers.com/sports/womens-basketball/roster/{season_42}
Hofstra,Hofstra,HOF,HOFW,CAA,https://gohofstra.com/sports/mens-basketball/roster/{season_42},https://gohofstra.com/sports/womens-basketball/roster/{season_42}
Holy Cross,Holy Cross,HCR,HCRW,Patriot League,https://goholycross.com/sports/mens-basketball/roster/{season_42},https://goholycross.com/sports/womens-basketball/roster/{season_42}
Houston,Houston,HOU,HOUW,Big 12,https://uhcougars.com/sports/mens-basketball/roster/{season_42},https://uhcougars.com/sports/womens-basketball/roster/{season_42}
Houston Christian,Houston Christian,HCU,HCUW,Southland,https://hcuhuskies.com/sports/mens-basketball/roster/{season_42},https://hcuhuskies.com/sports/womens-basketball/roster/{season_42}
Howard,Howard,HOW,HOWW,MEAC,https://hubison.com/sports/mens-basketball/roster/{season_42},https://hubison.com/sports/womens-basketball/roster/{season_42}
Idaho,Idaho,IDA,IDAW,Big Sky,https://govandals.com/sports/mens-basketball/roster/{season_42},https://govandals.com/sports/womens-basketball/roster/{season_42}
Idaho St.,Idaho St.,IDS,IDSW,Big Sky,https://isubengals.com/sports/mens-basketball/roster/{season_42},https://isubengals.com/sports/womens-basketball/roster/{season_42}
Illinois,Illinois,ILL,ILLW,Big Ten,https://fightingillini.com/sports/mens-basketball/roster/{season_42},https://fightingillini.com/sports/womens-basketball/roster/{season_42}
Illinois St.,Illinois St.,ILS,ILSW,Missouri Valley,https://goredbirds.com/sports/mens-basketball/roster/{season_42},https://goredbirds.com/sports/womens-basketball/roster/{season_42}
Indiana,Indiana,IND,INDW,Big Ten,https://iuhoosiers.com/sports/mens-basketball/roster/{season_42},https://iuhoosiers.com/sports/womens-basketball/roster/{season_42}
Indiana St.,Indiana St.,INS,INSW,Missouri Valley,https://gosycamores.com/sports/mens-basketball/roster/{season_42},https://gosycamores.com/sports/womens-basketball/roster/{season_42}
Iona,Iona,ION,IONW,MAAC,https://ionagaels.com/sports/mens-basketball/roster/{season_42},https://ionagaels.com/sports/womens-basketball/roster/{season_42}
Iowa,Iowa,IWA,IWAW,Big Ten,https://hawkeyesports.com/sports/mbball/roster/season/{season_42},https://hawkeyesports.com/sports/wbball/roster/season/{season_42}
Iowa St.,Iowa St.,IAS,IASW,Big 12,https://cyclones.com/sports/mens-basketball/roster/{season_42},https://cyclones.com/sports/womens-basketball/roster/{season_42}
IU Indy,IUPUI,IPI,IPIW,Horizon League,https://iuindyjags.com/sports/mens-basketball/roster/{season_44},https://iuindyjags.com/sports/womens-basketball/roster/{season_44}
Jackson St.,Jackson St.,JKS,JKSW,SWAC,https://gojsutigers.com/sports/mens-basketball/roster/{season_42},https://gojsutigers.com/sports/womens-basketball/roster/{season_42}
Jacksonville,Jacksonville,JAX,JAXW,ASUN,https://judolphins.com/sports/mens-basketball/roster/{season_42},https://judolphins.com/sports/womens-basketball/roster/{season_42}
Jacksonville St.,Jacksonville St.,JXS,JXSW,CUSA,https://jaxstatesports.com/sports/mens-basketball/roster/{season_42},https://jaxstatesports.com/sports/womens-basketball/roster/{season_42}
James Madison,James Madison,JMU,JMUW,Sun Belt,https://jmusports.com/sports/mens-basketball/roster/{season_42},https://jmusports.com/sports/womens-basketball/roster/{season_42}
Kansas,Kansas,KAN,KANW,Big 12,https://kuathletics.com/sports/mens-basketball/roster/{season_42},https://kuathletics.com/sports/womens-basketball/roster/{season_42}
Kansas City,UMKC,MKC,MKCW,Summit League,https://kcroos.com/sports/mens-basketball/roster/{season_42},https://kcroos.com/sports/womens-basketball/roster/{season_42}
Kansas St.,Kansas St.,KSS,KSSW,Big 12,https://www.kstatesports.com/sports/mens-basketball/roster/{season_42},https://www.kstatesports.com/sports/womens-basketball/roster/{season_42}
Kennesaw St.,Kennesaw St.,KWS,KWSW,ASUN,https://ksuowls.com/sports/mens-basketball/roster/{season_42},https://ksuowls.com/sports/womens-basketball/roster/{season_42}
Kent St.,Kent St.,KTS,KTSW,MAC,https://kentstatesports.com/sports/mens-basketball/roster/{season_42},https://kentstatesports.com/sports/womens-basketball/roster/{season_42}
Kentucky,Kentucky,KEN,KENW,SEC,https://ukathletics.com/sports/mbball/roster/season/{season_42}/,https://ukathletics.com/sports/wbball/roster/season/{season_42}/
La Salle,La Salle,LAS,LASW,A10,https://goexplorers.com/sports/mens-basketball/roster/{season_42},https://goexplorers.com/sports/womens-basketball/roster/{season_42}
Lafayette,Lafayette,LAF,LAFW,Patriot League,https://goleopards.com/sports/mens-basketball/roster/{season_42},https://goleopards.com/sports/womens-basketball/roster/{season_42}
Lamar University,Lamar,LAM,LAMW,Southland,https://lamarcardinals.com/sports/mens-basketball/roster/{season_42},https://lamarcardinals.com/sports/womens-basketball/roster/{season_42}
Le Moyne,Le Moyne,LMY,LMYW,NEC,https://lemoynedolphins.com/sports/mens-basketball/roster/{season_42},https://lemoynedolphins.com/sports/womens-basketball/roster/{season_42}
Lehigh,Lehigh,LEH,LEHW,Patriot League,https://lehighsports.com/sports/mens-basketball/roster/{season_44},https://lehighsports.com/sports/womens-basketball/roster/{season_44}
Liberty,Liberty,LIB,LIBW,CUSA,https://libertyflames.com/sports/mens-basketball/roster/{season_42},https://libertyflames.com/sports/womens-basketball/roster/{season_42}
Lindenwood,Lindenwood,LNW,LNWW,Ohio Valley,https://lindenwoodlions.com/sports/mens-basketball/roster/{season_42},https://lindenwoodlions.com/sports/womens-basketball/roster/{season_42}
Lipscomb,Lipscomb,LIP,LIPW,ASUN,https://lipscombsports.com/sports/mens-basketball/roster/{season_42},https://lipscombsports.com/sports/womens-basketball/roster/{season_42}
Little Rock,Little Rock,LTR,LTRW,Ohio Valley,https://lrtrojans.com/sports/mens-basketball/roster/{season_42},https://lrtrojans.com/sports/womens-basketball/roster/{season_42}
LIU,LIU,LIU,LIUW,NEC,https://www.liuathletics.com/sports/mens-basketball/roster/{season_42},https://www.liuathletics.com/sports/womens-basketball/roster/{season_42}
LMU (CA),Loyola Marymount,LMT,LMTW,WCC,https://lmulions.com/sports/mens-basketball/roster/{season_42},https://lmulions.com/sports/womens-basketball/roster/{season_42}
Long Beach St.,Long Beach St.,LBS,LBSW,Big West,https://longbeachstate.com/sports/mens-basketball/roster/{season_42},https://longbeachstate.com/sports/womens-basketball/roster/{season_42}
Longwood,Longwood,LGW,LGWW,Big South,https://longwoodlancers.com/sports/mens-basketball/roster/{season_42},https://longwoodlancers.com/sports/womens-basketball/roster/{season_42}
Louisiana,Louisiana,LSA,LSAW,Sun Belt,https://ragincajuns.com/sports/mens-basketball/roster/{season_42},https://ragincajuns.com/sports/womens-basketball/roster/{season_42}
Louisiana Tech,Louisiana Tech,LAT,LATW,CUSA,https://latechsports.com/sports/mens-basketball/roster/{season_42},https://latechsports.com/sports/womens-basketball/roster/{season_42}
Louisville,Louisville,LOU,LOUW,ACC,https://gocards.com/sports/mens-basketball/roster/{season_42},https://gocards.com/sports/womens-basketball/roster/{season_42}
Loyola Chicago,Loyola Chicago,LYC,LYCW,A10,https://loyolaramblers.com/sports/mens-basketball/roster/{season_42},https://loyolaramblers.com/sports/womens-basketball/roster/{season_42}
Loyola Maryland,Loyola MD,LMD,LMDW,Patriot League,https://loyolagreyhounds.com/sports/mens-basketball/roster/{season_42},https://loyolagreyhounds.com/sports/womens-basketball/roster/{season_42}
LSU,LSU,LSU,LSUW,SEC,https://lsusports.net/sports/mb/roster/season/{season_42},https://lsusports.net/sports/wb/roster/season/{season_42}
Maine,Maine,MNE,MNEW,America East,https://goblackbears.com/sports/mens-basketball/roster/{season_42},https://goblackbears.com/sports/womens-basketball/roster/{season_42}
Manhattan,Manhattan,MAN,MANW,MAAC,https://gojaspers.com/sports/mens-basketball/roster/{season_42},https://gojaspers.com/sports/womens-basketball/roster/{season_42}
Marist,Marist,MRT,MRTW,MAAC,https://goredfoxes.com/sports/mens-basketball/roster/{season_42},https://goredfoxes.com/sports/womens-basketball/roster/{season_42}
Marquette,Marquette,MRQ,MRQW,Big East,https://gomarquette.com/sports/mens-basketball/roster/{season_42},https://gomarquette.com/sports/womens-basketball/roster/{season_42}
Marshall,Marshall,MSH,MSHW,Sun Belt,https://herdzone.com/sports/mens-basketball/roster/{season_42},https://herdzone.com/sports/womens-basketball/roster/{season_42}
Maryland,Maryland,MRY,MRYW,Big Ten,https://umterps.com/sports/mens-basketball/roster/{season_42},https://umterps.com/sports/womens-basketball/roster/{season_42}
Massachusetts,Massachusetts,MAS,MASW,A10,https://umassathletics.com/sports/mens-basketball/roster/{season_42},https://umassathletics.com/sports/womens-basketball/roster/{season_42}
McNeese,McNeese St.,MCN,MCNW,Southland,https://mcneesesports.com/sports/mens-basketball/roster/{season_42},https://mcneesesports.com/sports/womens-basketball/roster/{season_42}
Memphis,Memphis,MEM,MEMW,American,https://gotigersgo.com/sports/mens-basketball/roster/{season_42},https://gotigersgo.com/sports/womens-basketball/roster/{season_42}
Mercer,Mercer,MER,MERW,SoCon,https://mercerbears.com/sports/mens-basketball/roster/{season_42},https://mercerbears.com/sports/womens-basketball/roster/{season_42}
Merrimack,Merrimack,MCK,MCKW,NEC,https://merrimackathletics.com/sports/mens-basketball/roster/{season_42},https://merrimackathletics.com/sports/womens-basketball/roster/{season_42}
Miami (FL),Miami FL,MIA,MIAW,ACC,https://miamihurricanes.com/sports/mbball/roster/season/{season_42},https://miamihurricanes.com/sports/wbball/roster/season/{season_42}
Miami (OH),Miami OH,MOH,MOHW,MAC,https://miamiredhawks.com/sports/mens-basketball/roster/{season_42},https://miamiredhawks.com/sports/womens-basketball/roster/{season_42}
